rank,har_id,har_alt_id,chrom,start,end,width,phylop_mean,phylop_max,gene,gene_distance,gene_confidence,gene_conf_num,gene_n_disorders,gene_assignment_method,plac_gene,plac_type,plac_atac,gwas_trait,gwas_snp,gwas_pval,gwas_distance,gwas_mapped_trait,gwas_study,gwas_pubmed,brain_dnase_overlap,brain_dnase_peak,temporal_gene,gene_peak_pcw,gene_midfetal_frac,gene_in_midfetal,score_constraint,score_acceleration,score_gene,score_disease,score_brain,score_temporal,score_motif,contrib_constraint,contrib_acceleration,contrib_gene,contrib_disease,contrib_brain,contrib_temporal,contrib_motif,total_score
1,HAR_575,HARsv2_0542,chr12,89349788,89350164,376,4.547435881050119,8.902999877929688,POC1B,175575,definitive,5,1,plac_linked,POC1B,distal,True,Educational attainment,rs2279574,9e-24,1537,educational attainment,Polygenic prediction of educational attainment within and between families from genome-wide association analyses in 3 million individuals.,35361970,True,AG80295,POC1B,9.0,0.3416206517802679,False,0.6465822877511128,0.6726687244403055,0.974425,0.4325780864008201,1.0,0.3416206517802679,0.0,0.1163848117952003,0.04708681071082139,0.2143735,0.09516717900818043,0.13,0.04441068473143483,0.0,0.647422986245637
2,HAR_1826,HARsv2_1733,chr22,42318257,42318359,102,5.859744418451117,8.784000396728516,TCF20,47604,definitive,5,1,plac_linked,TCF20,nearest_distal,False,Cognitive performance,rs2413685,3e-08,3226,cognitive function measurement,Gene discovery and polygenic prediction from a genome-wide association study of educational attainment in 1.1 million individuals.,30038396,True,AG80295,TCF20,13.0,0.6805247287732243,True,0.8879241986836163,0.40763720958368066,1.0,0.13104252943978723,0.8,0.6805247287732243,0.0,0.15982635576305093,0.02853460467085765,0.22,0.02882935647675319,0.10400000000000001,0.08846821474051916,0.0,0.6296585316511809
3,HAR_2635,HARsv2_2508,chr6,98977059,98978930,1871,4.607884652335676,8.902999877929688,FBXL4,29113,definitive,5,1,plac_linked,FBXL4,nearest_distal,False,Educational attainment,rs7759571,1e-09,6279,educational attainment,Polygenic prediction of educational attainment within and between families from genome-wide association analyses in 3 million individuals.,35361970,True,AG80295,FBXL4,9.0,0.5387292868776181,False,0.6576992023788809,1.0,1.0,0.1347912,0.8,0.5387292868776181,0.0,0.11838585642819856,0.07,0.22,0.029654064,0.10400000000000001,0.07003480729409035,0.0,0.612074727722289
4,HAR_2378,ZOOHAR.247,chr5,61737786,61738336,550,6.3495828469424325,8.902999877929688,ZSWIM6,405529,strong,4,1,plac_linked,ZSWIM6,distal,True,Educational attainment,rs2937834,2e-10,7670,educational attainment,Polygenic prediction of educational attainment within and between families from genome-wide association analyses in 3 million individuals.,35361970,True,AG80295,ZSWIM6,9.0,0.6270288850515133,False,0.9780086102461576,0.7501835249286583,0.59585325,0.13446652014011456,1.0,0.6270288850515133,0.0,0.17604154984430836,0.05251284674500608,0.131087715,0.029582634430825205,0.13,0.08151375505669674,0.0,0.6007385010768365
5,HAR_1613,HARsv2_1529;ZOOHAR.293,chr2,176078372,176079016,644,5.540163970838553,8.89900016784668,HOXD13,13705,definitive,5,1,plac_linked,LNPK,distal,True,Major depressive disorder (broad),rs6752623,2e-08,7183,major depressive disorder,"Multi-ancestry genome-wide association study of major depression aids locus discovery, fine mapping, gene prioritization and causal inference.",38177345,True,AG80295,LNPK,,0.0,False,0.8291513158398973,0.7823577464367558,1.0,0.10973803885380387,1.0,0.0,0.0,0.14924723685118152,0.05476504225057291,0.22,0.024142368547836853,0.13,0.0,0.0,0.5781546476495913
6,HAR_1545,HARsv2_1468,chr2,143726251,143726401,150,6.2294572897518385,8.902999877929688,ZEB2,793719,definitive,5,1,nearest_tss,,,,Educational attainment,rs28396876,2e-31,3121,educational attainment,Polygenic prediction of educational attainment within and between families from genome-wide association analyses in 3 million individuals.,35361970,True,AG80295,ZEB2,13.0,0.7323008522083948,True,0.9559167540264104,0.48577729829418964,0.20628100000000005,0.5373302117798942,0.8,0.7323008522083948,0.0,0.17206501572475386,0.03400441088059328,0.04538182000000001,0.11821264659157671,0.10400000000000001,0.09519911078709133,0.0,0.5688630039840151
7,HAR_2634,ZOOHAR.175,chr6,98826638,98826745,107,5.166981395618676,8.89799976348877,FBXL4,121202,definitive,5,1,nearest_tss,,,,Attention deficit hyperactivity disorder or autism spectrum disorder or intelligence (pleiotropy),rs7769568,6e-09,9430,"attention deficit-hyperactivity disorder, intelligence, autism spectrum disorder","Genetic Relationships between Attention-Deficit/Hyperactivity Disorder, Autism Spectrum Disorder, and Intelligence.",35764056,True,AG80295,FBXL4,9.0,0.5387292868776181,False,0.7605206598139532,0.41731962217274526,0.878798,0.10241134802522134,0.8,0.5387292868776181,0.0,0.13689371876651157,0.02921237355209217,0.19333556,0.022530496565548695,0.10400000000000001,0.07003480729409035,0.0,0.5560069561782428
8,HAR_3188,HARsv2_3041,chr9,106859819,106860259,440,3.338142412359064,8.87600040435791,ZNF462,2907,strong,4,1,plac_linked,ZNF462,nearest_distal,False,Educational attainment,rs149916490,9e-11,6892,educational attainment,Polygenic prediction of educational attainment within and between families from genome-wide association analyses in 3 million individuals.,35361970,True,AG80295,ZNF462,9.0,0.6272837043609837,False,0.4241855050630231,0.7046967321556706,0.89781975,0.14552686131125817,0.8,0.6272837043609837,0.0,0.07635339091134416,0.04932877125089695,0.197520345,0.032015909488476796,0.10400000000000001,0.08154688156692788,0.0,0.5407652982176457
9,HAR_31,ZOOHAR.277,chr1,44252362,44252762,400,6.030293998718261,8.869999885559082,SLC6A9,235022,strong,4,1,nearest_tss,,,,Educational attainment (MTAG),rs1738050,4e-12,10739,self reported educational attainment,Gene discovery and polygenic prediction from a genome-wide association study of educational attainment in 1.1 million individuals.,30038396,True,AG80295,SLC6A9,35.0,0.4674861284108546,False,0.9192893543900076,0.6852749243095803,0.5737334999999999,0.13003681797093755,0.8,0.4674861284108546,0.0,0.16547208379020137,0.047969244701670626,0.12622136999999997,0.02860809995360626,0.10400000000000001,0.060773196693411094,0.0,0.5330439951388893
10,HAR_3105,HARsv2_2961;ZOOHAR.13,chr9,16708805,16709053,248,5.8096020425293435,8.897000312805176,BNC2,161618,definitive,5,1,nearest_tss,,,,Educational attainment,rs59234174,9e-13,21208,educational attainment,Polygenic prediction of educational attainment within and between families from genome-wide association analyses in 3 million individuals.,35361970,True,AG80295,BNC2,8.0,0.281219684622549,False,0.8787026959052957,0.5879429774350823,0.838382,0.03654200992336487,0.8,0.281219684622549,0.0,0.1581664852629532,0.04115600842045576,0.18444404,0.008039242183140272,0.10400000000000001,0.03655855900093137,0.0,0.5323643348674807
