rank,har_id,har_alt_id,surfaced,is_disease_gene,chrom,start,end,gene,gene_distance,gene_confidence,gene_assignment_method,total_score,width,phylop_mean,phylop_max,gene_conf_num,gene_n_disorders,plac_gene,plac_type,plac_atac,gwas_trait,gwas_snp,gwas_pval,gwas_distance,gwas_mapped_trait,gwas_study,gwas_pubmed,brain_dnase_overlap,brain_dnase_peak,temporal_gene,gene_peak_pcw,gene_midfetal_frac,gene_in_midfetal,n_substitutions,n_indels,aln_length,subst_rate,n_motifs_human,n_motifs_chimp,n_motif_gained,n_motif_lost,motif_disruption,motif_tfs,score_constraint,score_acceleration,score_gene,score_disease,score_brain,score_temporal,score_motif,contrib_constraint,contrib_acceleration,contrib_gene,contrib_disease,contrib_brain,contrib_temporal,contrib_motif
38,HAR_1767,HARsv2_1677;ZOOHAR.148,new,False,chr20,53003720,53003856,TSHZ2,74964,,nearest_tss,0.43433677440027385,136,6.147729692162114,8.902999877929688,0,0,,,,Educational attainment,rs6063897,2e-15,13380,educational attainment,Polygenic prediction of educational attainment within and between families from genome-wide association analyses in 3 million individuals.,35361970,True,AG80295,TSHZ2,9.0,0.5644399401710198,False,3,0,136,0.022058823529411766,43,41,2,0,2,+ZNF184;+ZNF549,0.8975606884083749,0.046786053130929796,0.2775108,0.13664162516030762,0.8,0.5644399401710198,0.020202020202020204,0.1615609239135075,0.003275023719165086,0.061052376,0.030061157535267675,0.10400000000000001,0.07337719222223259,0.0010101010101010103
61,HAR_2952,HARsv2_2814,new,False,chr8,63704070,63704543,LINC01289,64887,,nearest_tss,0.4122451054795348,473,5.1096348610109334,8.890000343322754,0,0,,,,Personality traits or cognitive traits (multivariate analysis),rs1149475,3e-28,2782,"neuroticism measurement, cognitive function measurement",Multivariate genetic analysis of personality and cognitive traits reveals abundant pleiotropy.,37365406,True,AG80295,LINC01289,,0.0,False,6,1,473,0.012711864406779662,132,132,8,8,16,+HNF1B;+Sox1;+ZNF8;+ZNF157;-Arid5a;-FOXD3;+HNF1A;-MEF2C;-NFIL3;+POU4F3;-Spi1;-SPIB;-STAT1::STAT2;+Stat2;+ZIM3;-ZKSCAN5,0.7163052960057648,0.02696145434663751,0.2805339,0.4892026559701108,0.8,0.0,0.16161616161616163,0.12893495328103766,0.001887301804264626,0.061717458,0.10762458431342438,0.10400000000000001,0.0,0.008080808080808083
85,HAR_3071,HARsv2_2930,new,False,chr9,8532063,8532343,PTPRD,325525,,nearest_tss,0.37920764695814946,280,3.0875702313014437,8.892999649047852,0,0,,,,Educational attainment,rs35583726,3e-17,1355,educational attainment,Polygenic prediction of educational attainment within and between families from genome-wide association analyses in 3 million individuals.,35361970,True,AG80295,PTPRD,21.0,0.702857330705107,True,5,0,280,0.017857142857142856,132,135,1,4,5,+ARNT::HIF1A;-MGA::EVX1;-POU4F1;-POU4F2;-POU4F3,0.36324495226530323,0.03787442396313364,0.20234249999999998,0.31254677434572287,0.8,0.702857330705107,0.050505050505050504,0.06538409140775459,0.002651209677419355,0.044515349999999995,0.06876029035605903,0.10400000000000001,0.09137145299166392,0.0025252525252525255
94,HAR_2425,HARsv2_2304,new,False,chr5,107763995,107764310,EFNA5,93058,,nearest_tss,0.37096125350179626,315,3.944587057845599,8.902999877929688,0,0,,,,Attention deficit hyperactivity disorder or autism spectrum disorder or intelligence (pleiotropy),rs249979,2e-08,8467,"attention deficit-hyperactivity disorder, intelligence, autism spectrum disorder","Genetic Relationships between Attention-Deficit/Hyperactivity Disorder, Autism Spectrum Disorder, and Intelligence.",35764056,True,AG80295,EFNA5,13.0,0.6847293025580808,True,5,1,316,0.015873015873015872,59,59,1,1,2,+TEAD3;-TEAD4,0.5128834212466387,0.03366615463389657,0.2720826,0.10182965686534992,0.8,0.6847293025580808,0.020202020202020204,0.09231901582439496,0.0023566308243727603,0.059858172,0.022402524510376984,0.10400000000000001,0.08901480933255052,0.0010101010101010103
102,HAR_2195,HARsv2_2084,new,False,chr4,79984836,79984868,ANTXR2,88409,,nearest_tss,0.36325432670121127,32,4.543156137224287,8.649999618530273,0,0,,,,Educational attainment,rs66968950,4e-15,3439,educational attainment,Polygenic prediction of educational attainment within and between families from genome-wide association analyses in 3 million individuals.,35361970,False,,ANTXR2,8.0,0.5366667486340126,False,14,2,33,0.45161290322580644,2,1,1,0,1,+GRHL2,0.6173959090340408,0.9578563995837669,0.2734773,0.24834718762158225,0.0,0.5366667486340126,0.010101010101010102,0.11113126362612735,0.0670499479708637,0.06016500599999999,0.054636381276748094,0.0,0.06976667732242164,0.0005050505050505052
112,HAR_2629,HARsv2_2503,new,False,chr6,97850638,97851176,MIR2113,173355,,nearest_tss,0.3552244430017335,538,3.7953954434306203,8.793000221252441,0,0,,,,Cognitive aspects of educational attainment,rs1933720,6e-13,682,"cognitive function measurement, self reported educational attainment",Investigating the genetic architecture of noncognitive skills using GWAS-by-subtraction.,33414549,True,AG80295,MIR2113,9.0,0.3868947483531433,False,5,0,538,0.00929368029739777,117,119,4,6,10,-ZBTB32;+CDX1;-Pgr;-JUN;-MAF;-NRL;-PBX1;+Sox17;+TCF7L2;+ZNF667,0.4868339854894273,0.019711596114642044,0.24799349999999998,0.23776873431453643,0.8,0.3868947483531433,0.10101010101010101,0.08763011738809691,0.0013798117280249432,0.054558569999999994,0.052309121549198014,0.10400000000000001,0.05029631728590863,0.005050505050505051
113,HAR_3164,HARsv2_3018;ZOOHAR.270,new,False,chr9,79611045,79611405,TLE4,39273,,nearest_tss,0.3538970528810504,360,3.2359218273287507,8.902999877929688,0,0,,,,Educational attainment (years of education),rs9886703,4e-13,20032,self reported educational attainment,Gene discovery and polygenic prediction from a genome-wide association study of educational attainment in 1.1 million individuals.,30038396,True,AG80295,TLE4,16.0,0.7279572220955202,True,7,0,360,0.019444444444444445,63,51,14,2,16,+MEF2B;-TBX20;+MEF2D;+Hmga1;+CDX1;+CDX2;+CDX4;+Hoxa13;+HOXB13;-FOXD2;+Hmx1;+HOXA10;+Hoxd13;+HOXD9;+MEF2A;+MEF2C,0.38914771754703026,0.0412410394265233,0.2882181,0.049274372770466146,0.8,0.7279572220955202,0.16161616161616163,0.07004658915846544,0.0028868727598566316,0.063407982,0.010840362009502552,0.10400000000000001,0.09463443887241763,0.008080808080808083
127,HAR_53,HARsv2_0044,new,False,chr1,57600841,57600943,DAB1,176535,,nearest_tss,0.3436910894445436,102,5.4246633237070965,8.89799976348877,0,0,,,,Educational attainment,rs6697033,5e-11,2058,educational attainment,Polygenic prediction of educational attainment within and between families from genome-wide association analyses in 3 million individuals.,35361970,False,,DAB1,12.0,0.7726646690529898,True,2,0,102,0.0196078431372549,69,62,9,2,11,+RELA;-Arid3a;+HOXC11;+MYOD1;+Nfatc1;+NFATC3;-NR6A1;+Ptf1A;+SNAI3;+Stat5a;+Stat5a::Stat5b,0.7713104900501885,0.041587602783048704,0.2470395,0.18906098412841846,0.0,0.7726646690529898,0.1111111111111111,0.13883588820903392,0.0029111321948134096,0.05434869,0.04159341650825206,0.0,0.10044640697688868,0.005555555555555556
133,HAR_496,HARsv2_0469,new,False,chr11,132078581,132078953,NTM,168211,,nearest_tss,0.33742052988948545,372,3.6685283193853673,8.902999877929688,0,0,,,,Externalizing behaviour (multivariate analysis),rs1106363,7e-09,17418,"social inhibition quality, attention deficit-hyperactivity disorder, substance abuse",Multivariate analysis of 1.5 million people identifies genetic associations with traits related to self-regulation and addiction.,34446935,True,AG80295,NTM,25.0,0.5516437026698248,False,8,0,372,0.021505376344086023,62,72,4,14,18,-HNF1B;-POU3F4;-POU5F1B;+SMAD3;-TCF7L1;-Sox7;-ZNF418;+BARHL1;+BARHL2;-Hnf1A;-HNF1A;-POU2F1;-POU2F2;-POU2F3;-POU3F1;+Smad4;-Yy1;-ZNF274,0.4646824925219567,0.04561220950398891,0.2495367,0.04946437332848952,0.8,0.5516437026698248,0.18181818181818182,0.0836428486539522,0.003192854665279224,0.054898074,0.010882162132267694,0.10400000000000001,0.07171368134707722,0.009090909090909092
134,HAR_1361,HARsv2_1294,new,False,chr19,31421505,31421900,TSHZ3,72069,,nearest_tss,0.3360437552283725,395,2.4432352749163413,8.831000328063965,0,0,,,,Attention deficit hyperactivity disorder or autism spectrum disorder or intelligence (pleiotropy),rs8109639,8e-11,15659,"attention deficit-hyperactivity disorder, intelligence, autism spectrum disorder","Genetic Relationships between Attention-Deficit/Hyperactivity Disorder, Autism Spectrum Disorder, and Intelligence.",35764056,True,AG80295,TSHZ3,13.0,0.7769093741687214,True,4,0,395,0.010126582278481013,103,94,11,2,13,+EWSR1-FLI1;+ZNF75D;+CEBPA;+CEBPD;+GATA1;+GATA2;+Gata3;+GATA4;+GATA6;+POU4F2;-RORC;+TRPS1;-ZNF343,0.2507415644690374,0.021478154348713762,0.2783793,0.0754521891452066,0.8,0.7769093741687214,0.13131313131313133,0.04513348160442673,0.0015034708044099636,0.061243446,0.016599481611945452,0.10400000000000001,0.10099821864193378,0.006565656565656566
