rank,har_id,har_alt_id,surfaced,is_disease_gene,chrom,start,end,gene,gene_distance,gene_confidence,gene_assignment_method,total_score,width,phylop_mean,phylop_max,gene_conf_num,gene_n_disorders,plac_gene,plac_type,plac_atac,gwas_trait,gwas_snp,gwas_pval,gwas_distance,gwas_mapped_trait,gwas_study,gwas_pubmed,brain_dnase_overlap,brain_dnase_peak,temporal_gene,gene_peak_pcw,gene_midfetal_frac,gene_in_midfetal,n_substitutions,n_indels,aln_length,subst_rate,n_motifs_human,n_motifs_chimp,n_motif_gained,n_motif_lost,motif_disruption,motif_tfs,score_constraint,score_acceleration,score_gene,score_disease,score_brain,score_temporal,score_motif,contrib_constraint,contrib_acceleration,contrib_gene,contrib_disease,contrib_brain,contrib_temporal,contrib_motif
1,HAR_2378,ZOOHAR.247,shared,True,chr5,61737786,61738336,ZSWIM6,405529,strong,plac_linked,0.6093704226321139,550,6.3495828469424325,8.902999877929688,4,1,ZSWIM6,distal,True,Educational attainment,rs2937834,2e-10,7670,educational attainment,Polygenic prediction of educational attainment within and between families from genome-wide association analyses in 3 million individuals.,35361970,True,AG80295,ZSWIM6,9.0,0.6270288850515133,False,229,104,602,0.4598393574297189,112,112,1,1,2,+Prdm5;-ZNF317,0.932805033799093,0.9753044435807747,0.59585325,0.13446652014011456,1.0,0.6270288850515133,0.020202020202020204,0.16790490608383674,0.06827131105065423,0.131087715,0.029582634430825205,0.13,0.08151375505669674,0.0010101010101010103
2,HAR_575,HARsv2_0542,shared,True,chr12,89349788,89350164,POC1B,175575,definitive,plac_linked,0.6000013632796278,376,4.547435881050119,8.902999877929688,5,1,POC1B,distal,True,Educational attainment,rs2279574,9e-24,1537,educational attainment,Polygenic prediction of educational attainment within and between families from genome-wide association analyses in 3 million individuals.,35361970,True,AG80295,POC1B,9.0,0.3416206517802679,False,7,0,376,0.018617021276595744,66,66,2,2,4,+ZNF75A;-ZNF558;+MEIS1;-TBP,0.6181431689406081,0.03948610157858613,0.974425,0.4325780864008201,1.0,0.3416206517802679,0.04040404040404041,0.11126577040930945,0.0027640271105010294,0.2143735,0.09516717900818043,0.13,0.04441068473143483,0.0020202020202020206
3,HAR_1826,HARsv2_1733,shared,True,chr22,42318257,42318359,TCF20,47604,definitive,plac_linked,0.5972236751662152,102,5.859744418451117,8.784000396728516,5,1,TCF20,nearest_distal,False,Cognitive performance,rs2413685,3e-08,3226,cognitive function measurement,Gene discovery and polygenic prediction from a genome-wide association study of educational attainment in 1.1 million individuals.,30038396,True,AG80295,TCF20,13.0,0.6805247287732243,True,2,0,102,0.0196078431372549,44,43,1,0,1,+ZNF680,0.8472773402726611,0.041587602783048704,1.0,0.13104252943978723,0.8,0.6805247287732243,0.010101010101010102,0.152509921249079,0.0029111321948134096,0.22,0.02882935647675319,0.10400000000000001,0.08846821474051916,0.0005050505050505052
4,HAR_2635,HARsv2_2508,shared,True,chr6,98977059,98978930,FBXL4,29113,definitive,plac_linked,0.5426984938308183,1871,4.607884652335676,8.902999877929688,5,1,FBXL4,nearest_distal,False,Educational attainment,rs7759571,1e-09,6279,educational attainment,Polygenic prediction of educational attainment within and between families from genome-wide association analyses in 3 million individuals.,35361970,True,AG80295,FBXL4,9.0,0.5387292868776181,False,10,0,1871,0.005344735435595938,407,401,8,2,10,+MYBL2;+RXRB;+DMRTC2;+FOXD3;+HOXC12;-MXI1;+NR1D1;+YY2;+ZKSCAN1;-ZNF667,0.6286977593603185,0.011336011448078482,1.0,0.1347912,0.8,0.5387292868776181,0.10101010101010101,0.11316559668485732,0.0007935208013654939,0.22,0.029654064,0.10400000000000001,0.07003480729409035,0.005050505050505051
5,HAR_1545,HARsv2_1468,shared,True,chr2,143726251,143726401,ZEB2,793719,definitive,nearest_tss,0.5304178148156743,150,6.2294572897518385,8.902999877929688,5,1,,,,Educational attainment,rs28396876,2e-31,3121,educational attainment,Polygenic prediction of educational attainment within and between families from genome-wide association analyses in 3 million individuals.,35361970,True,AG80295,ZEB2,13.0,0.7323008522083948,True,2,0,150,0.013333333333333334,36,37,1,2,3,+PAX3;-ZNF35;-Stat6,0.9118306446076758,0.02827956989247312,0.20628100000000005,0.5373302117798942,0.8,0.7323008522083948,0.030303030303030304,0.16412951602938164,0.0019795698924731184,0.04538182000000001,0.11821264659157671,0.10400000000000001,0.09519911078709133,0.0015151515151515154
6,HAR_2634,ZOOHAR.175,shared,True,chr6,98826638,98826745,FBXL4,121202,definitive,nearest_tss,0.5253058416267103,107,5.166981395618676,8.89799976348877,5,1,,,,Attention deficit hyperactivity disorder or autism spectrum disorder or intelligence (pleiotropy),rs7769568,6e-09,9430,"attention deficit-hyperactivity disorder, intelligence, autism spectrum disorder","Genetic Relationships between Attention-Deficit/Hyperactivity Disorder, Autism Spectrum Disorder, and Intelligence.",35764056,True,AG80295,FBXL4,9.0,0.5387292868776181,False,3,0,107,0.028037383177570093,52,53,0,1,1,-ZNF85,0.7263182238437057,0.05946638528791076,0.878798,0.10241134802522134,0.8,0.5387292868776181,0.010101010101010102,0.13073728029186701,0.004162646970153754,0.19333556,0.022530496565548695,0.10400000000000001,0.07003480729409035,0.0005050505050505052
7,HAR_1613,HARsv2_1529;ZOOHAR.293,shared,True,chr2,176078372,176079016,HOXD13,13705,definitive,plac_linked,0.5180355022951243,644,5.540163970838553,8.89900016784668,5,1,LNPK,distal,True,Major depressive disorder (broad),rs6752623,2e-08,7183,major depressive disorder,"Multi-ancestry genome-wide association study of major depression aids locus discovery, fine mapping, gene prioritization and causal inference.",38177345,True,AG80295,LNPK,,0.0,False,4,0,644,0.006211180124223602,119,120,0,1,1,-ZNF708,0.7914773519691057,0.013173712682829092,1.0,0.10973803885380387,1.0,0.0,0.010101010101010102,0.14246592335443903,0.0009221598877980366,0.22,0.024142368547836853,0.13,0.0,0.0005050505050505052
8,HAR_1964,ZOOHAR.31,shared,True,chr3,81216880,81217184,GBE1,544462,definitive,plac_linked,0.5166437197889246,304,5.0910146051885175,8.902999877929688,5,1,GBE1,distal,True,Educational attainment,rs9849808,8e-10,13577,educational attainment,Polygenic prediction of educational attainment within and between families from genome-wide association analyses in 3 million individuals.,35361970,True,AG80295,GBE1,37.0,0.4922370589536692,False,8,0,304,0.02631578947368421,94,81,45,32,77,+ZNF8;+Alx1;+ALX3;+ARGFX;-Arid5a;-BARX1;+BARX2;-BSX;-DLX1;-Dlx3;-Dlx4;-DLX6;+DMRTC2;+DRGX;+HOXA1;+EMX1;+EMX2;+EN1;+HOXA2;+EVX1;+EVX2;-GBX2;+GSX1;-HESX1;+Hmx2;-HNF1A;-HOXA7;+HOXB2;+HOXB3;+HOXB5;+HOXC8;-IKZF1;+ISX;-LBX2;-LHX2;+Lhx3;+Lhx4;+Lhx8;+LMX1A;+LMX1B;+mix-a;+MIXL1;+MNX1;-MSX1;-MSX2;-Msx3;+Nfat5;+Nfatc1;+Nfatc2;+NFATC3;-NKX2-4;-NKX2-8;+NKX6-1;+NKX6-2;-Nobox;+NOTO;-Pax7;+PDX1;-POU4F1;-POU4F2;-POU4F3;+POU6F1;+PRRX1;-RAX;-RAX2;-RBPJ;-SHOX;+Shox2;-SOX14;-STAT1;-STAT3;-Stat4;+TLX2;+UNCX;+VAX1;+VAX2;+VSX2,0.7130541269656624,0.055814940577249575,0.605538,0.08313120246287282,1.0,0.4922370589536692,0.7777777777777778,0.12834974285381923,0.003907045840407471,0.13321836,0.018288864541832022,0.13,0.063990817663977,0.03888888888888889
9,HAR_2397,HARsv2_2279,shared,True,chr5,88830177,88830447,MEF2C,52738,definitive,nearest_tss,0.5063936844304826,270,4.023859812751056,8.902999877929688,5,1,,,,Educational attainment (MTAG),rs9986272,6e-14,5668,self reported educational attainment,Gene discovery and polygenic prediction from a genome-wide association study of educational attainment in 1.1 million individuals.,30038396,False,,MEF2C,24.0,0.8106719213324207,True,78,84,312,0.34210526315789475,70,70,2,2,4,+INSM1;-ZNF558;-RBPJ;+ZNF652,0.5267247523717447,0.7255942275042445,0.947262,0.2044838240220667,0.0,0.8106719213324207,0.04040404040404041,0.09481045542691403,0.05079159592529712,0.20839764000000002,0.04498644128485467,0.0,0.10538734977321469,0.0020202020202020206
10,HAR_2395,HARsv2_2277,shared,True,chr5,88480792,88481366,MEF2C,401819,definitive,nearest_tss,0.5037435033959302,574,4.07853457917442,8.902999877929688,5,1,,,,Alzheimer's disease or educational attainment (pleiotropy),rs7737179,2e-08,18343,"Alzheimer disease, educational attainment",Pleiotropic predisposition to Alzheimer's disease and educational attainment: insights from the summary statistics analysis.,34743297,True,AG80295,MEF2C,24.0,0.8106719213324207,True,172,215,682,0.3683083511777302,136,139,1,4,5,+FOXD3;-GFI1;-Gfi1B;-NFYA;-NFYC,0.5362711791000218,0.7811701319334117,0.5981810000000001,0.04100163465509189,0.8,0.8106719213324207,0.050505050505050504,0.09652881223800391,0.054681909235338826,0.13159982,0.009020359624120216,0.10400000000000001,0.10538734977321469,0.0025252525252525255
