rank_relaxed,har_id,har_alt_id,chrom,start,end,phylop_mean,gene,gene_distance,gene_confidence,gwas_trait,gwas_pval,gwas_distance,within_gwas25,within_ddg1mb,in_anchored,tier,brain_dnase_overlap,gene_peak_pcw,gene_midfetal_frac,score_constraint,score_gene,score_disease,score_brain,score_temporal,total_score
1,HAR_1826,HARsv2_1733,chr22,42318257,42318359,5.859744418451117,TCF20,47604.0,definitive,Cognitive performance,3e-08,3225.0,True,True,True,anchored (both gates),True,13.0,0.6805247287732243,0.8473231286064612,1.0,0.13104854774278346,0.8,0.6805247287732243,0.6747921118103347
2,HAR_575,HARsv2_0542,chr12,89349788,89350164,4.547435881050119,POC1B,175574.0,definitive,Educational attainment,9e-24,1536.0,True,True,True,anchored (both gates),True,9.0,0.3416206517802679,0.618257654820278,0.974426,0.4325965230068125,0.8,0.3416206517802679,0.646865929159754
3,HAR_1613,HARsv2_1529;ZOOHAR.293,chr2,176078372,176079016,5.540163970838553,HOXD13,13704.0,definitive,Major depressive disorder (broad),2e-08,7182.0,True,True,True,anchored (both gates),True,8.0,0.41618558210667017,0.7915398698995162,1.0,0.10974419802980734,0.8,0.41618558210667017,0.6190057111617473
4,HAR_2635,HARsv2_2508,chr6,98977059,98978930,4.607884652335676,FBXL4,29113.0,definitive,Educational attainment,1e-09,6278.0,True,True,True,anchored (both gates),True,9.0,0.5387292868776181,0.6288090808300042,1.0,0.13479839999999998,0.8,0.5387292868776181,0.6100864657312399
5,HAR_474,ZOOHAR.14,chr11,118929295,118929442,4.976343372431981,TRAPPC4,89323.0,definitive,Depression,3e-08,86824.0,False,True,False,relaxed (constraint only),True,24.0,0.6231677292460315,0.6931241171831668,1.0,0.0,0.8,0.6231677292460315,0.6020160748806297
6,HAR_1568,ZOOHAR.223,chr2,147844672,147844749,5.043696981245001,ORC4,175988.0,definitive,Educational attainment,3e-22,31618.0,False,True,False,relaxed (constraint only),True,12.0,0.6461253668029423,0.7048807932042794,0.974012,0.0,0.8,0.6461253668029423,0.6013153187058555
7,HAR_1545,HARsv2_1468,chr2,143726251,143726401,6.2294572897518385,ZEB2,793718.0,definitive,Educational attainment,2e-31,3120.0,True,True,True,anchored (both gates),True,13.0,0.7323008522083948,0.9118570789814803,0.20628199999999997,0.5373547709558977,0.8,0.7323008522083948,0.5987880393341537
8,HAR_3052,HARsv2_2911,chr9,2159560,2160390,4.686675096724069,SMARCA2,137616.0,definitive,Educational attainment,2e-08,298466.0,False,True,False,relaxed (constraint only),True,21.0,0.6399606937594609,0.6425620740928502,1.0,0.0,0.8,0.6399606937594609,0.5941546176425487
9,HAR_2634,ZOOHAR.175,chr6,98826638,98826745,5.166981395618676,FBXL4,121201.0,definitive,Intelligence,3e-08,9430.0,True,True,True,anchored (both gates),True,9.0,0.5387292868776181,0.7264002773683368,0.878799,0.09370497765121188,0.8,0.5387292868776181,0.5894746957996109
10,HAR_540,ZOOHAR.174,chr12,54017405,54017493,5.292446248671587,HOXC13,78575.0,definitive,Educational attainment,1e-20,215475.0,False,True,False,relaxed (constraint only),True,26.0,0.4292941583929556,0.7483003604577887,1.0,0.0,0.8,0.4292941583929556,0.5846617107653252
11,HAR_2378,ZOOHAR.247,chr5,61737786,61738336,6.3495828469424325,ZSWIM6,405529.0,strong,Educational attainment,2e-10,7670.0,True,True,True,anchored (both gates),True,9.0,0.6270288850515133,0.9328251797653011,0.59585325,0.13446652014011456,0.8,0.6270288850515133,0.5841961782332683
12,HAR_1853,HARsv2_1759,chr3,4733085,4733226,4.735038362645486,ITPR1,239738.0,definitive,Cognitive empathy,4e-08,833100.0,False,True,False,relaxed (constraint only),True,21.0,0.6825197853004421,0.6510039565514351,0.910262,0.0,0.8,0.6825197853004421,0.5797340048503588
13,HAR_3054,HARsv2_2913,chr9,2621394,2621609,3.7269640159346014,VLDLR,177.0,definitive,Rate of cognitive decline in Alzheimer's disease,2e-08,222751.0,False,True,False,relaxed (constraint only),True,13.0,0.7501566954656586,0.4750430287208893,1.0,0.0,0.8,0.7501566954656586,0.576168313159427
